EP022021,           BLANCA,     14,
20210528, 0000,  , LO, 08.30N, 96.30W,  25, 1010,
20210528, 0600,  , LO, 08.40N, 96.90W,  25, 1010,
20210528, 1200,  , LO, 08.60N, 97.20W,  25, 1010,
20210528, 1800,  , LO, 09.10N, 97.80W,  25, 1010,
20210529, 0000,  , LO, 09.10N, 98.00W,  25, 1010,
20210529, 0600,  , LO, 09.10N, 98.70W,  25, 1010,
20210529, 1200,  , LO, 09.40N, 99.80W,  25, 1010,
20210529, 1800,  , LO, 09.60N, 100.60W,  25, 1009,
20210530, 0000,  , LO, 09.90N, 101.20W,  25, 1009,
20210530, 0600,  , LO, 10.30N, 101.90W,  25, 1008,
20210530, 1200,  , LO, 10.60N, 102.50W,  30, 1007,
20210530, 1800,  , LO, 11.20N, 103.60W,  30, 1007,
20210531, 0000,  , TD, 11.50N, 104.70W,  30, 1007,
20210531, 0600,  , TD, 12.10N, 105.90W,  30, 1006,
20210531, 1200,  , TD, 12.40N, 107.10W,  30, 1005,
20210531, 1800,  , TS, 13.10N, 108.20W,  35, 1004,
20210601, 0000,  , TS, 13.60N, 109.00W,  45, 1000,
20210601, 0600,  , TS, 13.90N, 109.40W,  50, 998,
20210601, 1200,  , TS, 14.20N, 109.90W,  50, 999,
20210601, 1800,  , TS, 14.60N, 110.60W,  45, 1000,
20210602, 0000,  , TS, 14.80N, 111.30W,  45, 1001,
20210602, 0600,  , TS, 14.90N, 111.60W,  40, 1002,
20210602, 1200,  , TS, 15.20N, 112.00W,  35, 1004,
20210602, 1800,  , TD, 15.50N, 112.50W,  30, 1005,
20210603, 0000,  , TD, 15.40N, 112.90W,  30, 1005,
20210603, 0600,  , TD, 15.50N, 113.30W,  30, 1005,
20210603, 1200,  , TD, 15.50N, 113.60W,  30, 1006,
20210603, 1800,  , TD, 15.50N, 114.10W,  30, 1006,
20210604, 0000,  , TD, 15.50N, 114.20W,  30, 1006,
20210604, 0600,  , EX, 16.00N, 115.00W,  30, 1006,
20210604, 1200,  , EX, 16.20N, 115.90W,  30, 1006,
20210604, 1800,  , EX, 16.30N, 116.60W,  30, 1007,
20210605, 0000,  , EX, 16.20N, 117.50W,  30, 1007,
20210605, 0600,  , EX, 16.20N, 118.10W,  30, 1007,
AL012020,           ORLENE,     14,
